aa,first,last,rating,resourceid
,Diego,Biseswar,75,243625
,Stefano,Okaka,75,178090
,Aleksandar,Vukotić,68,178091
,Joaquín,García,51,243628
Ricardo Ferreira,Ricardo José,Araújo Ferreira,69,243629
,Mahdi,Camara,65,210862
,Elseid,Hysaj,78,243631
,Rafał,Kobryń,61,210864
,Rasmus,Karjalainen,62,243633
José Mari,José María,Martín Bejarano,70,247872
,Reece,Hutchinson,62,210868
,Georgiy,Zhukov,66,243637
,Warren,Tchimbembé,65,210870
,Nick,DePuy,61,243642
,Herman,Moussaki,61,237215
,Benjamin,Nygren,66,248138
,Aljaž,Struna,69,243646
,Riccardo,Fiamozzi,70,210879
,John,McGinn,76,210880
,Max,Sheaf,60,210881
,Ahmed,Salam,57,243651
,Tarık,Çetin,64,243653
,Nemanja,Radonjić,74,252799
,James,Garner,66,243656
,Jacori,Hayes,64,243657
Kalindi,Kalindi,Alves de Souza,71,237218
,Leodan,Chalá,55,243662
,Morgan,Sanson,79,255800
,Chancel,Mbemba,75,210896
,Abdullah,Al Fahad,63,210897
,Charles,Vanhoutte,63,210898
,Kjell,Scherpen,67,244889
,Arjan,Swinkels,66,243675
,Georgios,Siadas,59,178140
,Omran,Haydary,64,243678
,Stephane,Acka,66,243680
,Williams,Alarcón,60,243683
,Marco,Fossati,68,243684
Chiquinho,Francisco L.,Lima Silva Machado,76,210917
,Harry,Pritchard,59,243686
,Bobby,Burns,65,243687
,Uğurcan,Çakır,77,243688
,Bader,Al Seliteen,59,226300
,Mohammed,Al Owais,71,210922
,Abdulrahman,Al Barakah,64,210923
,Saqer,Otayf,57,210924
,Abdullah,Ateef,70,210925
,Thomas,Mangani,75,210926
Carles Gil,Carles,Gil Pareja,76,178160
,Djed,Spence,63,210930
,Domenico,Berardi,80,243702
,Florian,Chabrolle,64,210935
Lee Chang Geun,Chang Geun,Lee,65,243705
,Garissone,Innocent,62,210941
,Thomas,Callens,50,243710
,Issa,Marega,64,243711
,Eris,Abedini,63,243713
,William,Saliba,74,243714
,Silvester,van der Water,69,243715
,Edison,Flores,69,243716
,Dylan,Wenzel-Halls,63,210951
,Christian,Kum,67,243721
,Darren,Collins,48,178187
,Birkan,Kirdar,56,243725
,Abu,Danladi,63,243728
,Federico,Ceccherini,70,237253
,Driess,Saddiki,68,210964
,Avdo,Spahić,64,243733
,Keita,Nakamura,66,243735
,Lasse,Schlüter,64,242692
Manquillo,Javier,Manquillo Gaitán,76,243739
,José-Junior,Matuwila,63,210972
Marcelo Freitas,Marcelo,de Freitas Costa,64,243742
,Robert,Zwinkels,65,243745
,Etienne,Capoue,78,178211
,Ben,Osborn,74,178213
,Kieran,Wallace,63,210985
Fran Gámez,Francisco,Gámez López,71,210986
,Bartłomiej,Żynel,60,243756
,Murat Cem,Akpınar,63,243758
,Javier,Hernández,78,248157
,Brandon,Kavanagh,60,178224
Ma Sang Hoon,Sang Hoon,Ma,55,243764
,Arnaud,Djoum,69,210999
Hwang Seok Ho,Seok Ho,Hwang,65,178233
Han Kook Young,Kook Young,Han,70,211002
Jang Hyeon Soo,Hyeon Soo,Jang,72,211004
,Mohammed,Al Amri,65,211005
,Darragh,Lenihan,72,211006
,Marco,Hiller,67,211009
Kangin Lee,Kangin,Lee,74,243778
Paulinho,Paulo Sérgio,Mota,72,243780
,Abdülkadir,Ömür,75,211014
Víctor Rodríguez,Víctor,Rodríguez Romero,74,231777
,Papakouli,Diop,78,211017
,Desley,Ubbink,60,178250
,Arbnor,Mucolli,66,211019
Ivo,Olívio,Da Rosa,75,243788
Rubén García,Rubén,García Santos,79,178253
,Ryan,Donk,76,211022
Iñigo Vicente,Iñigo,Vicente Elorduy,70,178255
Allan Sousa,Allan,Gonçalves Sousa,66,243792
,Gregor,Kobel,75,243793
,Luis Manuel,García,70,235073
,JT,Marcinkowski,60,211033
De La Hoz,César,De La Hoz López,69,242703
,Oussama,Darfalou,67,211037
,Jordan,Shipley,66,243806
,Silvio,Proto,75,233378
,Luis,Ingolotti,60,47201
,Widen,Rojas,59,243810
,Teenage,Hadebe,66,253627
,Richard,Sánchez,74,239438
,Emanuel,Iñíguez,67,248872
,Elias,Sørensen,59,243816
,Ruud,Boffin,69,243817
,Lee,Nguyen,69,178283
,Lucas,Hägg Johansson,67,178284
,Scott,Arfield,71,211053
Park Soo Il,Soo Il,Park,55,178287
Pablo Valcarce,Pablo,Valcarce Vidal,68,243824
Elsinho,Elson,Ferreira de Souza,72,211057
,Alexandru,Maxim,72,211060
Alex Pozo,Alejandro,Pozo Pozo,70,211061
Canella,Roberto,Canella Suárez,67,235983
,Kenan,Kodro,68,178297
,Scott,Pittman,66,211068
,Nicky,Cadden,62,243841
,Julio,Recoba,52,243842
,Simone,Iacoponi,71,255806
Éder,Éder,Citadin Martins,79,178310
,Paris,Maghoma,57,178311
,Vincent,Pule,70,243849
,Ben,Motshwari,65,243851
,Mohamed,Simakan,71,243852
,Wout,Brama,68,243854
,Abel,Mabaso,66,178319
,Thibaut,Peyre,69,243856
,Miguel,Layún,76,211089
,Abdou Razack,Traoré,73,178322
,Callum,McGregor,77,178323
,James,Igbekeme,69,211093
,Nicolai,Brock-Madsen,63,243862
,Marcus,Fraser,65,211095
,Bradley,Dack,74,211096
,Opa,Nguette,75,211098
,Vladis,Emmersón,61,211099
Rubén Blanco,Rubén,Blanco Veiga,76,243868
,Antolín,Alcaraz,72,211101
,Nicolai,Flø,63,138949
Frederico Venâncio,Frederico André,Ferrão Venâncio,75,211105
Fei Nanduo,Nanduo,Fei,75,211107
,Joel,Pinto,61,211108
,Paulo,Dybala,88,253638
,Connor,Krempicki,63,211110
,Johannes,Dörfler,62,243881
,Dele,Alli,83,243882
,Tobias,Mølgaard,64,211117
Pedro Santos,Pedro Miguel,Martins Santos,74,243886
,Callum,Rowe,51,211119
,Paolo,Hurtado,70,243890
,Ayoub,Abdellaoui,63,211124
Philippe,Philippe,Almeida Costa,58,243896
Baltazar,Baltazar,Oliveira,57,243897
Andrés Prieto,Andrés Tomás,Prieto Albert,67,243898
,Mohammed,Attiyah,58,211132
,Immanuel,Pherai,63,211135
,Nawaf,Al Subhi,62,243904
,Trae,Coyle,56,211141
,Joe,Ironside,60,243910
,Giorgio,Chiellini,87,211143
,Valentino,Lazaro,79,138956
,Joe,Gauci,56,211147
,Virgile,Pinson,61,243917
,Madallah,Al Olayan,66,243919
,Jakub,Łabojko,62,211152
,Morten,Behrens,66,243921
,David,Philipp,62,243925
,Peder,Vogt,59,243932
,Jack,Whatmough,66,248186
,Kristian,Thorstvedt,67,211166
,Amir,Nouri,63,242725
,Saleh,Al Shehri,66,243939
,Neyder,Lozano,66,211173
,Arnór Ingvi,Traustason,71,243944
,Matthew,Rusike,64,211177
,Mateusz,Żukowski,57,211178
,Fabien,Ourega,67,243949
,Ruud,Vormer,77,243950
,Jeremain,Lens,76,178415
,Charlie,Mulgrew,67,178416
,Federico,Peluso,71,178417
,Daniel,Mancilla,69,178418
,Josip,Vuković,71,253651
,Biagio,Meccariello,67,243956
César Díaz,César,Díaz Martínez,66,211189
,Leon,Schneider,61,178422
Antunes,Vitorino,Pacheco Antunes,79,243959
,Lucas,Woudenberg,67,178424
,Alexandre,De Bruyn,66,211195
,Moritz-Broni,Kwarteng,59,243968
,Sam,Long,64,243970
,Declan,John,70,211203
,Andy,Polar,65,211204
Catena,Alejandro,Catena Marugán,68,253654
,Jonathan,Herrera,70,243976
Caye Quintana,Cayetano,Quintana Hernández,68,243977
,Fabrice,Olinga,65,211211
,Oscar,Wendt,75,211214
,Dan,Sweeney,58,144429
Ale Díez,Alejandro,Díez Salomón,70,211217
,Martin,Boyle,68,243988
Enric Gallego,Enrique,Gallego Puigsech,73,211221
,Jeff,Hardeveld,64,243993
,Matt,Palmer,62,221986
,Janus,Drachmann,67,211228
,Ramón,Azeez,75,178461
,Tobias,Fleckstein,58,211231
,Joseph,Chalmers,62,244000
,Enzo,Zidane,64,211233
Endika,Endika,Irigoyen Bravo,63,211234
,Luc,Kassi,64,244005
,Corentin,Jean,71,211238
,Julien,Lopez,68,211239
Rubén Peña,Rubén,Peña Jiménez,80,211240
Josemi Castañeda,José Miguel,Castañeda Macho,62,211241
,Iván,Ochoa,67,244010
,Marcin,Cebula,64,231815
,Ribair,Rodríguez,67,211245
André Ferreira,André Filipe,M. Ribeiro Ferreira,65,211249
,Kohei,Okuno,58,244020
,Ibrahim,Sissoko,70,253662
,Heinz,Mörschel,62,244022
,Nicolás,Tagliafico,84,244023
Ha Chang Rae,Chang Rae,Ha,66,211256
,Riku,Danzaki,58,238354
,Semi,Belkahia,58,253663
,Lisandro,Magallán,73,244028
,Ariel,Rojas,70,211263
,David,Kopacz,62,211265
,Ricardo,Centurión,77,244034
,Alper,Önal,60,211267
,Guillermo,Fernández,74,244036
,Esteban,Saveljich,68,211269
,Jack,Sowerby,58,211270
,Claudio,Corvalán,73,226352
,Cristian,Álvarez,64,211272
,Moussa,Djitté,69,211273
,Olivier,Giroud,79,244042
,Konstantin,Maradishvili,62,178509
,Luis,Coordes,61,248205
,Jakob,Münzner,57,244048
,Wouter,Burger,66,244049
,Radja,Nainggolan,83,244050
,Moryké,Fofana,72,178518
,Philipp,Harant,59,211287
,Constantin,Frommann,60,244060
,Kelle,Roos,68,244066
,Anthony,Martial,84,211299
,Gianluca,Lapadula,71,211300
,Janis,Hanek,57,211302
,Mergim,Fejzullahu,60,244071
,Yannik,Bangsow,60,244072
Rogério,Rogério,Oliveira da Silva,70,244073
,Yari,Otto,61,241629
,Leon,Bürger,58,244076
,John,Buckley,64,244077
,Sinan,Karweina,61,242749
Israel Puerto,Israel,Puerto Pineda,67,244082
,Aygün,Yildirim,65,211315
,Daniele,Rugani,80,244085
,Moussa,Konaté,71,211320
,Leon,Schaffran,58,211321
Pol García,Pol,García Tena,69,244090
,Mauro,Goicoechea,70,211323
,Nathan,Ferguson,69,211327
,Éver,Banega,83,242752
,Gustavo,Blanco Leschuk,71,178562
,Bruno,Urribarri,69,237291
,Erik,Pieters,74,178565
,Jaber,Asiri,58,178567
,Alejandro,Chumacero,72,244105
Bracali,Rafael,Wihby Bracali,72,211338
André Horta,André Filipe,Luz Horta,75,178571
Jesús Jiménez,Jesús,Jiménez Núñez,70,226370
,Daniel-Kofi,Kyereh,66,244110
,Pedro,Azogue,60,244112
,Batista,Mendy,60,211345
,John,Yeboah,63,244114
,Stole,Dimitrievski,71,242755
,Mauricio,Pinilla,71,211348
,Dorian,Bertrand,64,113045
,Robert,Skov,75,244118
,Alex,Pearce,68,215449
,Marco,Benassi,74,178584
,Scott,Jamieson,66,211354
,Julien,Fabri,67,178589
,Danilo,Cataldi,73,211358
,Tom,Lockyer,69,211361
,Eirik,Hestad,72,211363
,Yordan,Osorio,74,211365
,Uğur,Demirok,69,237297
,Mats,Hummels,86,178600
,Alaa,Bakir,59,178603
,Nsana,Simon,56,244140
,Andrei,Radu,66,244141
,Valentin,Costache,68,244142
Kaku,Alejandro,Romero Gamarra,74,244143
,Alexandru,Păun,70,226376
,Sofiane,Boufal,75,244147
Varela,Fernando Lopes,dos Santos Varela,74,211381
,Jamal,Lowe,68,178614
,Riza,Durmisi,74,211384
,Nathanaël,Dieng,65,211385
,Arsène,Elogo,68,244155
David Caiado,David,Caiado Dias,66,244158
Mosquera,Pedro,Mosquera Parada,74,178623
,Paolo,Faragò,70,178625
,Abdullah,Al Salem,64,211394
,Marc-Aurèle,Caillard,69,211395
,Sebastian,Milewski,65,211398
,Dejan,Vokić,60,244167
,Matthis,Harsman,60,244170
,Hirving,Lozano,80,244172
,Karol,Linetty,74,221992
,Tom,Kretzschmar,54,211408
,Noel,Niemann,58,244178
,Leon,Klassen,60,244179
,Giorgi,Arabidze,68,244181
,Samuel,Mráz,65,244182
Luquinhas,Lucas,Lima Linhares,72,244185
,Arial,Mendy,66,244186
,Thomas,Isherwood,62,244187
,Giorgi,Kharaishvili,69,244192
,Henry,Wingo,65,242768
Etxeberría,Markel,Etxeberría Mendiola,66,237307
Corpas,José,Corpas Serna,71,211428
,Robbie,Burton,58,244197
,Luke,Jephcott,61,244200
,Yuji,Takahashi,64,244201
,Sebastián,Sosa,62,211434
,Nikola,Katić,70,211435
,Maximiliano,Salas,69,244204
,Marco,Bürki,67,244205
Isma Cerro,Ismael,Cerro Sánchez,66,211438
,Quentin,Boisgard,68,244208
Jimmy,Jaime,Suárez Juesas,67,231848
,Patryk,Sokołowski,65,244210
Jorge Félix,Jorge Félix,Muñoz García,70,244212
,Ousmane,Viera,66,244213
,Brian,Galach,54,211446
,Enriko,Papa,65,244217
,Fredrik,Hammar,54,248010
Luiz Phellype,Luiz Phellype,Luciano Silva,74,244224
,Caolan,Lavery,63,211461
,Luca,Pfeiffer,65,211463
,Aaron,Opoku,67,244233
,Hilary,Gong,65,244234
,Jaka,Bijol,70,244235
,Koki,Anzai,71,244238
,Prince Osei,Owusu,63,242776
,Alon,Turgeman,68,244250
,Yohan,Roche,65,244251
,Uroš,Račić,75,244252
,Roman,Macek,60,244253
,Daniel,Bielica,59,237317
Álvaro Tejero,Álvaro,Tejero Sacristán,74,244256
,Danijel,Zagorac,67,231856
,Michael,Covea,66,244258
Dani Olmo,Daniel,Olmo Carvajal,79,226395
,Lovro,Majer,71,244260
,Amir,Rrahmani,76,244261
,Amer,Gojak,70,244263
,Niklas,Jeck,52,244264
,Luka,Menalo,66,248875
,Antonio,Marin,67,244266
,Filip,Benković,74,244267
,Ivan,Šunjić,73,244269
,Dino,Perić,72,244271
,John,Swift,74,244272
,Thomas,Allan,60,211506
,Kelland,Watts,60,244276
,Baris,Ekincier,56,244277
,Luke,Hendrie,64,244279
,Tom,Lawrence,72,211512
,Reece,James,69,211513
,Pierluigi,Gollini,79,211514
,Yannis,Letard,65,211515
Sergio Asenjo,Sergio,Asenjo Andrés,82,244284
,Thore,Pedersen,65,178750
,Adam,Idah,65,248245
,Kamal,Bafounta,59,244288
,Alexander,Callens,70,244289
Álex Gallar,Álejandro,Gallar Falguero,71,211522
,Emil,Riis,63,211527
Seoane,Fernando,Seoane Antelo,69,244296
,Mark,O'Hara,64,145996
,Sam,Graham,56,211536
,Gabriel,Fuentes,71,244306
Lucas Ribeiro,Lucas,Ribeiro Costa,64,244308
,Badr,Boulahroud,63,244311
Luís Maximiano,Luís Manuel,Arantes Maximiano,78,244315
,Ross,Stewart,63,244316
Carlos Hernández,Carlos,Hernández Alarcón,66,244319
,Federico,Barba,72,211556
,Sergio,Gucciardo,57,211557
,Luke,Matheson,61,244328
Jhonny Lucas,Jhonny Lucas,Flora Barbosa,61,246002
Gilberto,Gilberto,Moraes Júnior,74,244330
,Jay,Bird,48,211567
,Rok,Vodišek,66,252549
,Marko,Bakić,68,244340
André Gomes,André Filipe,Tavares Gomes,79,211574
,Noah,De Queiroz,50,211575
Novoa,Hugo,Novoa,61,253716
,Edson,Gutiérrez,67,258041
,Shane,O'Neill,64,244348
,Jonas,Brendieck,54,211581
,Juan,Ramírez,66,244355
,Moussa,Dembélé,81,253718
,George,Evans,68,211591
Gabriel Brazão,Gabriel,Resende Brazão,64,211595
,Manuel,Arteaga,61,244364
,Ayman,Ben Mohamed,65,211598
,Viktor,Tsygankov,80,211600
,Liam,Roberts,63,244369
,Vitaliy,Buyalskyi,74,211604
,Mykola,Shaparenko,72,244373
,Florian,Loshaj,65,244374
,Michele,Rigione,63,211607
,Toni,Borevković,70,211608
,Vitaliy,Mykolenko,76,244377
,Artem,Shabanov,72,244380
,Mykyta,Burda,74,244381
,Tommaso,Morosini,66,244383
,Dominik,Starkl,62,211617
,Sheldon,Bateau,67,211618
,Tyler,Miller,68,211619
,Marius,Bülter,73,231878
,Ryan,Colclough,64,244390
,Jessy,Deminguet,70,211623
Gonzalo Villar,Gonzalo,Villar del Fraile,68,241238
,Damian,Kądzior,74,244393
,Ashley,Nathaniel-George,61,211626
,Harouna,Sy,64,244395
,Timothé,Cognat,66,244398
,Kemal,Ademi,67,244399
,Mohamed Ali,Camara,65,244400
,Adil,Taoui,64,244401
Pol Lozano,Pol,Lozano Vizuete,63,244403
,Florian,Faist,63,244407
,Mathieu,Gonçalves,66,244409
Mikel Rico,Mikel,Rico Moreno,73,244410
,Julian,Krahl,62,146111
,Bogdan,Lednev,73,244417
,Alexei,Koselev,69,244426
,Jürgen,Heil,61,244433
,Josip,Radošević,68,244435
,Tyler,Boyd,74,211671
,Morten Ågnes,Konradsen,63,211672
,Juan,Sánchez Purata,62,220964
,Jeickson,Reyes,66,244448
,Keaghan,Jacobs,64,253644
,Dylan,Esmel,60,244453
Gayà,José Luís,Gayà Peña,83,244454
,Eryc,Castillo,69,211688
,Jack,Hamilton,53,244464
Diego Caballo,Diego,Caballo Alonso,68,244465
,Ondřej,Kolář,78,244466
,Taylor,Curran,55,244467
,Marc,Endres,64,242814
,Marc,Schnatterer,71,211702
,Jens-Lys,Cajuste,67,211703
Pere Pons,Pere,Pons Riera,75,244472
,Paul,McGinn,65,211706
,Clément,Vidal,63,211707
,Amir,Adouyev,61,244476
,Hugo,Magnetti,60,244477
Riqui Puig,Ricard,Puig Martí,75,244480
,Manuel,Gasparini,57,242816
,Louis,Fenton,63,244483
,Paterson,Chato,69,211717
,Jozo,Stanić,59,244489
,Tim,Knipping,65,244490
,Filip Møller,Delaveris,59,211723
,Stefan,Perić,62,244494
Marquinhos Cipriano,Marcos Robson,Cipriano,68,244496
,Karol,Szymański,59,244497
,Timmy,Thiele,64,244498
,Hidajet,Hankić,65,211732
,Robert,Leipertz,71,244503
,Iván,Acero,52,211736
,Mark,Flekken,75,246090
,Erdoğan,Yeşilyurt,64,211738
,Osman,Atilgan,59,211739
,Dennis,Jastrzembski,67,244508
,Marc,Lorenz,67,244509
,Philipp,Riese,70,211742
,Rico,Benatelli,67,211745
,Clinton,Antwi,62,211746
,Kerem,Demirbay,80,244515
,Elvis,Sarić,72,211748
,İlkay,Durmuş,64,244517
,Murat,Şatin,64,244521
,Eric,Cantú,60,244522
,Hakim,Ouro-Sama,64,242823
,Arton,Zekaj,62,244528
,Shuhei,Kawasaki,58,244529
,Lewis,Italiano,59,255829
,Sebastian,Bauer,62,211768
,Hamza,Massoudi,61,244538
,Yanis,Ammour,61,244539
,Nicolás,Spolli,69,244543
,Michał,Rakoczy,57,171830
Bruno Mendes,Bruno,Pereira Mendes,69,244550
,Neal,Maupay,77,211783
,James,Dodd,52,211784
,Jordan,Dyer,52,244554
,Will,Dean,51,244555
,Idekel,Domínguez,64,244556
,Martin,Konczkowski,68,244558
,Carlos,Gutiérrez,64,211791
,James,Donachie,65,244560
,Cammy,MacPherson,58,211793
,Ethan,Erhahon,60,244563
,Andrew,Putna,61,244565
,Nicolas,Hebisch,60,244567
Baselga,Marcos,Baselga García,61,211806
,Guillermo,Pozos,60,244577
Kim Gun Hee,Gun Hee,Kim,66,244578
,Aleksandar,Paločević,70,231910
,Oleksiy,Shevchenko,70,244582
,Aaron,Berzel,65,244584
,Kevin,Möhwald,72,211817
,Max,Hunt,54,211818
,Jayden,Bogle,72,244590
,Igor,Jovanović,63,244591
,Rafael,Czichos,72,211824
,Philipp,Klewin,67,211826
,Joan,Oumari,66,211827
,Yves,Kaiser,57,211828
,Dennis,Mast,62,244598
Andrés Fernández,Andrés Eduardo,Fernández Moreno,78,211831
,Toni,Lindenhahn,62,146296
,Othman,Boussaid,63,211833
,Franco,Flückiger,62,244602
,Christos,Albanis,70,211835
,Marco,Hartmann,69,244605
,Nicolas,Gavory,73,211840
,Sari,Amro,62,211844
,Manfred,Starke,64,211846
Vinícius,Carlos Vinícius,Alves Morais,79,211850
Puado,Javier,Puado Díaz,72,244621
,Egy,Maulana Vikri,55,244622
,Kevin,Akpoguma,73,244623
Alex Muñoz,Alejandro José,Muñoz Miguel,71,211856
,Braian,Samudio,72,211857
,André,Hahn,72,244628
,Hamidou,Keyta,65,211862
,Simon,Sohm,62,237380
,Alessandro,Murgia,71,244634
,Daniel,Moreno,65,231919
,Dimitrij,Nazarov,68,244636
,Brylon,Petersen,59,211870
,Philip,Heise,70,237381
,Santiago,Ormeño,62,211872
,Tommy,Grupe,61,244641
,Janik,Haberer,75,211875
,Maximilian,Welzmüller,66,211879
,Quirin,Moll,64,211880
,Frederik,Tingager,67,211881
,Ünal,Tosun,57,231828
,Keisuke,Osako,68,211884
,Gavin,Whyte,66,244654
,Marius,Willsch,65,244655
,Badou,Ndiaye,72,211888
,Andreas,Voglsammer,73,221000
,Markus,Schwabl,65,211891
,Miloš,Spasić,60,211893
,Armin,Đerlek,61,244663
,Florian,Niederlechner,78,252560
,Alexander,Winkler,65,211899
,Lucas,Hufnagel,65,211900
,Benjamin,Kololli,70,211901
,Matty,Daly,58,211903
,Osaze,Urhoghide,57,244673
,Jérôme,Gondorf,70,244674
,Günay,Güvenç,70,211907
,Trevor,Clarke,64,211908
,Adam,Ben Lamin,56,231926
,Mathieu,Choinière,59,244679
,Vitalie,Damașcan,65,244680
,Tashreeq,Matthews,61,244684
,Jacob,Christensen,68,244690
Kwon Chang Hoon,Chang Hoon,Kwon,74,244692
,Dominic,Gape,67,211927
,Nana,Ampomah,70,211928
,Jack,Brady,55,235103
,Ryo,Nagai,64,244701
,Kevin,Behrens,70,211935
,Ekin,Celebi,57,244706
,Kevin,Goden,64,244707
,Marko,Jevtović,72,244708
,Markus,Kolke,69,244709
,Taylor,Perry,55,211946
,Maximilian,Thiel,66,244715
,René,Vollath,65,211952
,Tobias,Schröck,66,211953
,Ulrich,Taffertshofer,68,211954
,Emil,Frederiksen,62,211955
,Evert,Linthorst,66,244724
,Nazariy,Rusyn,71,244725
,Ryan,Law,50,244731
,Mahlon,Romeo,71,244733
,Steeve,Beusnard,63,211966
,Marco,Holz,63,244736
Negredo,Álvaro,Negredo Sánchez,76,211973
,Sean,Hoare,64,146439
,Nayef,Aguerd,67,211978
,Nico,Neidhart,67,244749
,Senou,Coulibaly,65,211982
,Johan,Olstad,51,244751
,Nikola,Vukčević,75,244752
,Mariusz,Malec,63,221016
,Jerome,Kiesewetter,65,244755
,Odisseas,Vlachodimos,81,211988
,Sven,Mende,61,211990
,Lamine,Diabyfadiga,63,211993
Javi Fuego,Javier,Fuego Martínez,69,244762
,Jayden,Mitchell-Lawson,61,146460
,Rani,Khedira,75,244765
,Erich,Berko,67,211999
,Fabricio,Manzo,58,212000
,Kevin,Moreno,62,244770
,Kevin,Velasco,62,244771
,Ismael,Govea,69,244772
Trincão,Francisco,Mota Castro Trincão,78,242865
,Kearyn,Baccus,67,244778
,Tobias,Koch,58,212013
Koo Ja Ryong,Ja Ryong,Koo,68,244783
,Milan,Havel,72,212018
,Pavel,Bucha,73,244787
,Aleš,Čermák,73,244788
,Adrián,Bone,64,244789
,Robert,Berić,75,212022
,Roman,Procházka,70,212023
,Tomáš,Chorý,70,244792
,Marko,Alvir,67,244793
,Chris,Durkin,66,244794
,Petar,Musa,72,237407
,Mateusz,Bogusz,60,244797
Kim Moon Hwan,Moon Hwan,Kim,63,247351
,Ryogo,Yamasaki,65,244800
,Jérémie,Bela,73,244801
,Mustafa,Al Bassas,59,212035
,Abdullah,Al Jadani,64,212037
,Saeed,Al Muwallad,67,212038
,Ulrik Yttergård,Jenssen,67,212039
,Marcus,Dewhurst,55,212040
,Tobias,Lawal,61,244809
,Nemanja,Celic,59,244810
,Casper,Højer,70,244812
,Alexandru,Chipciu,68,212045
,Henrik,Bellman,56,212048
,Stefan,Gölles,64,244818
,Shūichi,Gonda,70,244820
Zhang Lingfeng,Lingfeng,Zhang,60,217649
,Randell,Williams,66,242873
,Ricardo,Gutiérrez,56,231951
,Dimitrios,Emmanouilidis,62,244828
,Octavio,Zapata,62,240563
,Sebastián,Ferreira,71,253797
Jeong Dong Ho,Dong Ho,Jeong,66,244832
,Edwuin,Pernía,62,212065
,Camilo,Vargas,78,244834
,Jacopo,Segre,67,212067
,Sebastian,Jarl,58,244836
Jesús Navas,Jesús,Navas González,84,248337
,Andrew,Nabbout,65,146536
Kim Jung Min,Jung Min,Kim,64,212075
,Kamal,Sowah,65,244852
Ricardo Santos,Ricardo,Almeida Santos,61,244853
,Jonas,David,63,212090
,Edward,Zenteno,67,244859
,Yassine,Benrahou,71,212094
,Vincenzo,Grifo,78,244863
,Sondre,Tronstad,68,212096
,Max,Lowe,72,212099
,Gabriel,Compagnucci,65,212100
,Josh,Key,55,244869
,Joel,Randall,53,244870
,Jaime,Gómez,70,244871
,Vasilije,Janjičić,67,212104
,Adis,Jahović,73,237420
,Nair,Tiknizyan,62,212107
,Abdulrahman,Al Yami,58,244881
,Matías,Pellegrini,68,244883
,Matt,Grimes,74,244884
,Robbe,Decostere,63,212118
,Michael,Heylen,66,244887
,Jordi,Vanlerberghe,69,212120
,Floyd,Ayité,71,212121
,Sofiane,Diop,66,188271
,Darko,Lazović,76,244892
Borja López,Borja,López Menéndez,68,212127
,Mario,Maloča,67,212129
,Jamie,Semple,55,212130
,Miguel,Tapias,61,248347
,Andreas,Vindheim,71,244904
,Przemysław,Frankowski,71,212137
,Hirotsugu,Nakabayashi,63,212138
,Takanori,Sugeno,64,237426
,Adrian,Delap,55,244912
,Billy,King,61,244913
,Mohammed,Salisu,76,212146
,Max,Meyer,76,244915
,Thomas,Strakosha,83,212150
,Roberto,Gagliardini,78,212151
,Sebastián,Rincón,66,212153
,Karol,Mets,67,212156
,Osayamen,Osawe,65,226506
,Lukas,Schöfl,60,212158
Varo,Alberto,Varo Lara,65,244927
,James,Daly,59,229655
,Kevin,Castañeda,67,244929
,Sebastian,Ohlsson,66,244932
,Charles,Vernam,63,212165
,Marin,Cavar,59,212167
,Greg,Taylor,72,252569
,Mikkel,Desler,67,226508
,Emir,Karic,67,212170
,Manfred,Fischer,66,244940
,David,Moyo,58,244941
,Eren,Bilen,50,212174
,Hugo,Ayala,75,244943
,Iván,Ramírez,65,171896
,Carlos,Benavídez,69,244946
,Hiroshi,Kiyotake,70,244948
,Juan Gabriel,Rodríguez,75,210126
Nacho,José Ignacio,Martínez García,78,244950
,Vladimir,Loroña,69,212183
,Rik,Vercauteren,57,244952
,Philipp,Max,79,256081
,Timo,Werner,85,212187
,Niklas,Süle,84,212188
,Julian,Green,68,212190
,Travis,Johnson,51,212192
,Julian,Brandt,84,244961
Ivanildo Fernandes,Ivanildo Jorge,Mendes Fernandes,73,212194
,Pione,Sisto,75,244963
,Daniel,Heuer Fernandes,71,212196
Bruno Fernandes,Bruno Miguel,Borges Fernandes,87,212197
Zhou Baizhao,Baizhao,Zhou,50,212198
,Yohann,Magnin,66,248225
,Brandon,Mechele,76,244970
,Nikola,Storm,72,212204
,Nicolae,Stanciu,77,212205
Andrei Girotto,Andrei,Girotto,76,212207
,Dominik,Kohr,75,226515
Ricardo Esgaio,Ricardo,Sousa Esgaio,78,212212
,Augusto,Solari,74,212213
,Aymeric,Laporte,87,212214
,Alexander,Djiku,77,212218
,Sean,Maguire,70,212219
,Enzo,Roco,71,212223
,Dan,Nistor,73,212225
,Ivan,Toney,69,212226
Iuri Medeiros,Iuri José,Picanço Medeiros,68,212228
Tobias Figueiredo,Tobias,Pereira Figueiredo,70,212230
,Jamie,Maclaren,73,212231
,Lukas,Krüger,60,212232
,Daniel,Wein,65,245001
,Besar,Halimi,68,212237
,Kenan,Karaman,73,212238
,Robert,Andrich,72,212240
,Christopher,Lenz,70,212242
,Yannick,Gerhardt,75,212244
,Simon,Janssen,60,212245
,Yahcuroo,Roemer,59,245014
,Felix,Lohkemper,66,245015
,Sebastian,Kerk,67,212248
,Hendrik,Hansen,63,212249
,Alexander,Scholz,74,212251
,Nicholas,Opoku,67,212253
,Sixten,Mohlin,62,245022
,Ben,Lederman,57,212255
Hwang Ui Jo,Ui Jo,Hwang,73,245026
